strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
KEN/SS3078/2021	2021-09-17	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OK510507	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al JV				
KEN/SS4381/2021	2021-11-28	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202148	OM141144	Homo sapiens	1.23		3-7 days ago	Africa		Githinji et al JW				-10.56
KEN/SS3775/2021	2021-10-20	9.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202142	OL441788	Homo sapiens	1.23	AY.46	Older	Africa		Githinji et al JX				
KEN/SS3732/2021	2021-10-11	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202141	OL352738	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al JY				
KEN/SS3725/2021	2021-10-13	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202141	OL352733	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al JZ				
KEN/SS3681/2021	2021-09-16	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OL352272	Homo sapiens	1.18	AY.46	Older	Africa		Githinji et al KA				
OV204949	2021-12-02	8.00	21J (Delta)	Germany	0.00	Schleswig-Holstein	21J (Delta)	202148	OV204949	Homo sapiens	1.22	AY.46	One month ago	Europe		? B		LADR Zentrallabor DR. Kramer & Kollegen Geesthacht, Lauenburger Str. 67; 21502 Geesthacht	Robert Koch Institute	-10.56
KEN/SS4137/2021	2021-10-31	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202144	OL913033	Homo sapiens	1.20	AY.46	One month ago	Africa		Githinji et al KB				-10.56
KEN/SS4919/2021	2021-12-10	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202149	OM141471	Homo sapiens	1.21		3-7 days ago	Africa		Githinji et al KC				-10.56
KEN/SS4006/2021	2021-10-22	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202142	OL691289	Homo sapiens	1.02	AY.46	Older	Africa		Githinji et al KD				
KEN/SS4140/2021	2021-11-11	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL913036	Homo sapiens	1.21	AY.46	One month ago	Africa		Githinji et al KE				-10.56
KEN/SS4154/2021	2021-11-08	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL913045	Homo sapiens	1.20	AY.46	One month ago	Africa		Githinji et al KF				-10.56
KEN/SS4150/2021	2021-11-06	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202144	OL913041	Homo sapiens	1.20	AY.46	One month ago	Africa		Githinji et al KG				-10.56
KEN/SS4153/2021	2021-11-08	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL913044	Homo sapiens	1.20	AY.46	One month ago	Africa		Githinji et al KH				-10.56
England/NEWC-20B85D5/2021	2021-10-09	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202140	OU915321	Homo sapiens	1.32	AY.4	Older	Europe		Integrated Covid Hub North et al		Integrated Covid Hub North East	Wellcome Sanger Institute	
NLD/2417301/2021	2021-06-20	9.00	21J (Delta)	Netherlands		Netherlands	21J (Delta)	202125	OL672887	Homo sapiens	1.28	AY.4	Older	Europe		Rumke et al C				
Liechtenstein/FL-Risch-21B2218884/2021	2021-11-10	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV116592	Homo sapiens	1.24	AY.4	Older	Europe		? EV		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-6.59
Liechtenstein/FL-Risch-21B2211831/2021	2021-11-10	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV118017	Homo sapiens	1.24	AY.4	Older	Europe		? EW		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-6.59
Switzerland/VD-CHUV-GEN8682/2021	2021-12-01	9.00	21J (Delta)	Switzerland	0.00	Vaud	21J (Delta)	202148	OV282803	Homo sapiens	1.28	AY.4	One month ago	Europe		? EX		CHUV, CH-1011 Lausanne, Switzerland	laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and u	-6.59
SYC/SS3650/2021	2021-09-28	9.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202139	OL352050	Homo sapiens	1.21	AY.46	Older	Africa		Githinji et al KI				
SYC/SS3914/2021	2021-10-07	8.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202140	OL691204	Homo sapiens	1.17	AY.121	Older	Africa		Githinji et al KJ				
OV214220	2021-11-29	9.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202148	OV214220	Homo sapiens	1.25	AY.4.4	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Public Health Authority of the Slovak Republic	-6.59
OU957665	2021-10-04	8.00	21J (Delta)	Slovakia		Slovakia	21J (Delta)	202140	OU957665	Homo sapiens	1.25	AY.4.4	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
Switzerland/SO-ETHZ-35028155/2021	2021-11-29	9.00	21J (Delta)	Switzerland	0.00	Solothurn	21J (Delta)	202148	OV269235	Homo sapiens	1.67	AY.4.4	One month ago	Europe		? EY		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	-6.59
England/ALDP-159CD37/2021	2021-05-19	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202120	OU295484	Homo sapiens	1.27	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
Scotland/QEUH-1FF3244/2021	2021-09-29	9.00	21J (Delta)	United Kingdom		Scotland	21J (Delta)	202139	OU836411	Homo sapiens	1.26	AY.4	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
OU937749	2021-09-02	8.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202135	OU937749	Homo sapiens	1.21	AY.4	Older	Europe		? B		SYNLAB MVZ Weiden, Zur Kesselschmiede 4; 92637 Weiden in der Oberpfalz	Robert Koch Institute	
Switzerland/BE-ETHZ-34024562/2021	2021-09-07	9.00	21J (Delta)	Switzerland		Bern	21J (Delta)	202136	OU847375	Homo sapiens	1.19	AY.4	Older	Europe		? EZ		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	
OU991798	2021-10-18	8.00	21J (Delta)	Slovakia		Slovakia	21J (Delta)	202142	OU991798	Homo sapiens	1.22	AY.4	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
OV282554	2021-11-17	9.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202146	OV282554	Homo sapiens	1.26	AY.4	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-5.25
OV007706	2021-10-13	11.00	21J (Delta)	United Kingdom		England	AY.4.2 (Delta)	202141	OV007706	Homo sapiens	1.36	AY.4.2	Older	Europe		? FA		Quadram Institute Bioscience	Quadram Institute Bioscience	
England/MILK-2AC3EF0/2021	2021-11-16	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202146	OV159419	Homo sapiens	1.35	AY.4.2	One month ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	-5.25
England/MILK-1E9B6CB/2021	2021-09-16	11.00	21J (Delta)	United Kingdom		England	AY.4.2 (Delta)	202137	OU749862	Homo sapiens	1.32	AY.4.2	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
OU957928	2021-09-24	11.00	21J (Delta)	Slovakia		Slovakia	AY.4.2 (Delta)	202138	OU957928	Homo sapiens	1.35	AY.4.2.3	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
OV017232	2021-11-02	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202144	OV017232	Homo sapiens	1.32	AY.4.2.3	Older	Europe		? FA		Quadram Institute Bioscience	Quadram Institute Bioscience	-5.25
England/NEWC-1F105A2/2021	2021-09-21	12.00	21J (Delta)	United Kingdom		England	AY.4.2 (Delta)	202138	OU768668	Homo sapiens	1.33	AY.4.2.1	Older	Europe		Integrated Covid Hub North et al		Integrated Covid Hub North East	Wellcome Sanger Institute	
OV316855	2021-12-18	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202150	OV316855	Homo sapiens	1.35	AY.4.2	3-7 days ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	-5.25
England/ALDP-28AEE0C/2021	2021-10-26	12.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202143	OV026433	Homo sapiens	1.32	AY.4.2.2	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
OV312881	2021-12-09	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202149	OV312881	Homo sapiens	1.33	AY.4.2.2	3-7 days ago	Europe		Fraser et al		Rosalind Franklin Laboratory	Wellcome Sanger Institute	-5.25
Scotland/QEUH-209A69A/2021	2021-10-06	12.00	21J (Delta)	United Kingdom		Scotland	AY.4.2 (Delta)	202140	OU883081	Homo sapiens	1.32	AY.4.2.2	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
KEN/SS4165/2021	2021-11-21	12.00	21J (Delta)	Kenya	0.00	Kenya	AY.4.2 (Delta)	202147	OL913052	Homo sapiens	1.29	AY.4.2.2	One month ago	Africa		Githinji et al KK				-5.25
OV210019	2021-11-14	11.00	21J (Delta)	Germany	0.00	Baden-Wuerttemberg	AY.4.2 (Delta)	202146	OV210019	Homo sapiens	1.34	AY.4.2	One month ago	Europe		? B		MVZ Labor Dr. Limbach & Kollegen GbR, Im Breitspiel 15; 69126 Heidelberg	Robert Koch Institute	-5.25
Switzerland/GE-DIA-161344762701/2021	2021-11-22	10.00	21J (Delta)	Switzerland	0.00	Geneva	AY.4.2 (Delta)	202147	OV177390	Homo sapiens	1.28	AY.4.2	One month ago	Europe		? FB		Dianalabs SA, Rue de la coline 6, CH-1205 Genève	Medisupport	-5.25
OV229267	2021-11-08	11.00	21J (Delta)	Germany	0.00	Baden-Wuerttemberg	AY.4.2 (Delta)	202145	OV229267	Homo sapiens	1.33	AY.4.2	One month ago	Europe		? B		Eurofins LifeCodexx GmbH, Line-Eid-Strasse 3; 78467 Konstanz	Robert Koch Institute	-5.25
England/ALDP-1F6B0F2/2021	2021-09-24	11.00	21J (Delta)	United Kingdom		England	AY.4.2 (Delta)	202138	OU788063	Homo sapiens	1.32	AY.4.2	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
Wales/ALDP-28E810D/2021	2021-10-30	11.00	21J (Delta)	United Kingdom	0.00	Wales	AY.4.2 (Delta)	202143	OV043596	Homo sapiens	1.32	AY.4.2	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
England/ALDP-2A1F97C/2021	2021-11-10	12.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202145	OV129490	Homo sapiens	1.31	AY.4.2	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
England/MILK-2AC3616/2021	2021-11-16	12.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202146	OV159977	Homo sapiens	1.32	AY.4.2	One month ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	-5.25
England/QEUH-282FFA6/2021	2021-10-22	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202142	OU956582	Homo sapiens	1.32	AY.4.2	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
OV312542	2021-12-09	11.00	21J (Delta)	United Kingdom	0.00	England	AY.4.2 (Delta)	202149	OV312542	Homo sapiens	1.31	B.1.617.2	3-7 days ago	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
BHR/21922020997/2021	2021-11-29	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL722009	Homo sapiens	1.23	AY.4	Older	Asia		Alwasti et al KQ				-5.25
Switzerland/BE-IFIK-5042-4480/2021	2021-12-09	10.00	21J (Delta)	Switzerland	0.00	Bern	21J (Delta)	202149	OV318059	Homo sapiens	1.31	AY.4	3-7 days ago	Europe		? FC		MCL Medizinische Laboratorien, Hauptstandort Niederwangen; Niederwangen, Switzerland	Institute for Infectious Diseases, University of Bern, Switzerland	-5.25
OU706471	2021-07-15	7.00	21J (Delta)	Slovakia		Slovakia	21J (Delta)	202128	OU706471	Homo sapiens	1.32	AY.4	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
England/MILK-2761862/2021	2021-10-12	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202141	OU895034	Homo sapiens	1.35	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
BHR/21921985759/2021	2021-11-24	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL719168	Homo sapiens	1.32	AY.4	Older	Asia		Alwasti et al KR				-5.25
England/ALDP-1F7C54A/2021	2021-09-25	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202138	OU826149	Homo sapiens	1.27	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
England/QEUH-2BBBD2A/2021	2021-11-23	9.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202147	OV256970	Homo sapiens	1.26	AY.4	One month ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	-5.25
England/ALDP-2B2D5A3/2021	2021-11-20	9.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202146	OV170020	Homo sapiens	1.25	AY.4	One month ago	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
England/ALDP-1EF1274/2021	2021-09-18	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202137	OU765378	Homo sapiens	1.25	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
England/ALDP-1F6C826/2021	2021-09-24	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202138	OU788331	Homo sapiens	1.26	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
Scotland/QEUH-1E23789/2021	2021-09-10	9.00	21J (Delta)	United Kingdom		Scotland	21J (Delta)	202136	OU732675	Homo sapiens	1.26	AY.4	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
England/ALDP-1FD9684/2021	2021-09-29	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202139	OU829214	Homo sapiens	1.25	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
England/ALDP-20D9DA9/2021	2021-10-10	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202141	OU886856	Homo sapiens	1.25	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
OV112469	2021-10-25	8.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202143	OV112469	Homo sapiens	1.22	AY.4	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-5.25
OV282498	2021-11-27	9.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202147	OV282498	Homo sapiens	1.27	AY.4	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-5.25
Scotland/QEUH-28BA939/2021	2021-10-29	10.00	21J (Delta)	United Kingdom	0.00	Scotland	21J (Delta)	202143	OV024222	Homo sapiens	1.38	AY.4.1	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	-5.25
Wales/ALDP-1ECFF2D/2021	2021-09-16	12.00	21J (Delta)	United Kingdom		Wales	21J (Delta)	202137	OU963545	Homo sapiens	1.25	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
OU894165	2021-09-29	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202139	OU894165	Homo sapiens	1.26	AY.4	Older	Europe		? FA		Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust	
England/ALDP-27965A9/2021	2021-10-17	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202142	OU902949	Homo sapiens	1.30	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
OV313541	2021-12-12	10.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202150	OV313541	Homo sapiens	1.28	AY.4	3-7 days ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	-5.25
England/MILK-1DACBD8/2021	2021-09-02	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202135	OU699564	Homo sapiens	1.26	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
England/ALDP-298CC27/2021	2021-11-06	9.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202144	OV071944	Homo sapiens	1.26	AY.4	Older	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.25
England/PLYM-1EC80C7/2021	2021-09-18	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202137	OU760129	Homo sapiens	1.25	AY.4	Older	Europe		Lighthouse Laboratory et al		Lighthouse Laboratory Plymouth	Wellcome Sanger Institute	
Scotland/QEUH-1F890B2/2021	2021-09-26	9.00	21J (Delta)	United Kingdom		Scotland	21J (Delta)	202139	OU818739	Homo sapiens	1.25	AY.4	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
England/MILK-280AEFF/2021	2021-10-22	10.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202142	OU955996	Homo sapiens	1.26	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
Scotland/QEUH-28A79E4/2021	2021-10-28	9.00	21J (Delta)	United Kingdom	0.00	Scotland	21J (Delta)	202143	OV027260	Homo sapiens	1.27	AY.4	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	-5.25
England/MILK-1F423BC/2021	2021-09-22	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202138	OU771444	Homo sapiens	1.26	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
Switzerland/BE-Risch-2192005947/2021	2021-09-20	9.00	21J (Delta)	Switzerland		Bern	21J (Delta)	202138	OU838358	Homo sapiens	1.26	AY.4	Older	Europe		? FD		Ender Diagnostics AG, Freiburgstrasse 251, 3018 Bern	Dr. Risch	
USA/NH-CDC-QDX28697139/2021	2021-09-09	9.00	21J (Delta)	USA		New Hampshire	21J (Delta)	202136	OK325069	Homo sapiens	1.24	AY.4	Older	North America		Howard et al OF				
OV109523	2021-10-25	10.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202143	OV109523	Homo sapiens	1.22	AY.43	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-5.25
OV203472	2021-12-02	8.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202148	OV203472	Homo sapiens	1.22	AY.4	One month ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-5.25
England/MILK-274F23F/2021	2021-10-12	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202141	OU894548	Homo sapiens	1.25	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
OV314449	2021-12-13	9.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202150	OV314449	Homo sapiens	1.25	AY.4	3-7 days ago	Europe		Fraser et al		Rosalind Franklin Laboratory	Wellcome Sanger Institute	-6.70
NZL/21CH0097/2021	2021-08-18	10.00	21J (Delta)	New Zealand		Canterbury	21J (Delta)	202133	OK426166	Homo sapiens	1.25	AY.4	Older	Oceania		Ren et al MZ		Canterbury Health Laboratories	Institute of Environmental Science and Research	
England/MILK-1BF38EC/2021	2021-08-17	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202133	OU589089	Homo sapiens	1.28	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
England/MILK-1AF0A17/2021	2021-08-04	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202131	OU537425	Homo sapiens	1.25	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	
Liechtenstein/FL-Risch-21C0314169/2021	2021-11-26	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202147	OV215799	Homo sapiens	1.33	AY.4	One month ago	Europe		? FE		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.67
Liechtenstein/FL-Risch-21B1003292/2021	2021-10-24	10.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202143	OV064815	Homo sapiens	1.29	AY.43.4	Older	Europe		? FF		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	
Liechtenstein/FL-Risch-21A2713059/2021	2021-10-25	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202143	OU959819	Homo sapiens	1.25	AY.43.4	Older	Europe		? FG		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.67
Switzerland/SZ-ETHZ-671799/2021	2021-10-07	8.00	21J (Delta)	Switzerland		Schwyz	21J (Delta)	202140	OU900281	Homo sapiens	1.24	AY.4	Older	Europe		? FH		labor team w AG; Blumeneggstrasse 55, 9403 Goldach	ETH ZURICH D-BSSE	
Switzerland/BE-SRO-500005_5252/2021	2021-12-01	9.00	21J (Delta)	Switzerland	0.00	Bern	21J (Delta)	202148	OV283803	Homo sapiens	1.27	AY.4	One month ago	Europe		? FI		Spital Langenthal, SRO AG, Labor	SRO	-7.67
Switzerland/BE-IFIK-4860-4385/2021	2021-12-05	9.00	21J (Delta)	Switzerland	0.00	Bern	21J (Delta)	202149	OV300110	Homo sapiens	1.27	AY.4	One month ago	Europe		? FJ		JVA Thorberg; Krauchthal, Switzerland	Institute for Infectious Diseases, University of Bern, Switzerland	-7.67
England/NEWC-20B92BF/2021	2021-10-08	10.00	21J (Delta)	United Kingdom		England	21J (Delta)	202140	OU914499	Homo sapiens	1.26	AY.4	Older	Europe		Integrated Covid Hub North et al		Integrated Covid Hub North East	Wellcome Sanger Institute	
Scotland/QEUH-28AC42A/2021	2021-10-27	10.00	21J (Delta)	United Kingdom	0.00	Scotland	21J (Delta)	202143	OV004588	Homo sapiens	1.23	AY.4	Older	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	-7.88
England/MILK-286B4FA/2021	2021-10-26	9.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202143	OU985600	Homo sapiens	1.27	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	-7.80
OV133326	2021-11-15	8.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202146	OV133326	Homo sapiens	1.21	AY.4	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-7.80
OV282603	2021-11-23	10.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202147	OV282603	Homo sapiens	1.25	AY.4	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-7.80
OV302113	2021-09-15	8.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202137	OV302113	Homo sapiens	1.23	AY.4	One month ago	Europe		? B		SYNLAB MVZ Weiden, Zur Kesselschmiede 4; 92637 Weiden in der Oberpfalz	Robert Koch Institute	
